Location;Population
Arcos de Valdevez;22 284
Caminha;16 465
Melgaço;8 874
Monção;18 931
Paredes de Coura;9 039
Ponte da Barca;11 829
Ponte de Lima;43 151
Valença;13 869
Viana do Castelo;87 570
Vila Nova de Cerveira;9 138
Amares;18 635
Barcelos;119 824
Braga;181 979
Esposende;34 268
Terras de Bouro;6 929
Vila Verde;47 838
Cabeceiras de Basto;16 442
Fafe;50 097
Guimarães;156 762
Mondim de Basto;7 357
Póvoa de Lanhoso;21 867
Vieira do Minho;12 651
Vila Nova de Famalicão;133 843
Vizela;23 856
Arouca;21 877
Espinho;30 674
Gondomar;167 771
Maia;135 971
Matosinhos;175 006
Oliveira de Azeméis;67 971
Paredes;86 948
Porto;224 894
Póvoa de Varzim;63 141
Santa Maria da Feira;140 052
Santo Tirso;70 737
São João da Madeira;21 655
Trofa;38 743
Vale de Cambra;22 439
Valongo;95 004
Vila do Conde;79 774
Vila Nova de Gaia;302 989
Boticas;5 540
Chaves;40 788
Montalegre;10 049
Ribeira de Pena;6 383
Valpaços;16 252
Vila Pouca de Aguiar;12 819
Amarante;55 424
Baião;20 009
Castelo de Paiva;16 350
Celorico de Basto;19 874
Cinfães;19 800
Felgueiras;57 789
Lousada;47 375
Marco de Canaveses;53 120
Paços de Ferreira;56 965
Penafiel;71 641
Resende;10 992
Alijó;11 547
Armamar;6 113
Carrazeda de Ansiães;6 118
Freixo de Espada à Cinta;3 650
Lamego;26 150
Mesão Frio;4 273
Moimenta da Beira;10 066
Murça;5 817
Penedono;2 854
Peso da Régua;16 695
Sabrosa;6 214
Santa Marta de Penaguião;7 099
São João da Pesqueira;7 611
Sernancelhe;5 614
Tabuaço;6 274
Tarouca;7 927
Torre de Moncorvo;8 297
Vila Nova de Foz Côa;7 043
Vila Real;51 213
Alfândega da Fé;4 884
Bragança;34 832
Macedo de Cavaleiros;15 328
Miranda do Douro;7 352
Mirandela;23 143
Mogadouro;9 173
Vila Flor;6 485
Vimioso;4 480
Vinhais;8 672
Alcobaça;55 844
Alenquer;43 140
Arruda dos Vinhos;14 053
Bombarral;12 940
Cadaval;14 057
Caldas da Rainha;51 760
Lourinhã;25 681
Nazaré;14 712
Óbidos;11 726
Peniche;27 305
Sobral de Monte Agraço;10 202
Torres Vedras;79 314
Águeda;47 249
Albergaria-a-Velha;24 816
Anadia;28 501
Aveiro;77 452
Estarreja;26 633
Ílhavo;38 456
Murtosa;10 463
Oliveira do Bairro;23 400
Ovar;55 007
Sever do Vouga;12 063
Vagos;22 889
Arganil;11 760
Cantanhede;36 312
Coimbra;138 058
Condeixa-a-Nova;17 346
Figueira da Foz;61 291
Góis;4 100
Lousã;17 385
Mealhada;20 299
Mira;12 292
Miranda do Corvo;13 016
Montemor-o-Velho;25 980
Mortágua;9 392
Oliveira do Hospital;20 407
Pampilhosa da Serra;4 286
Penacova;14 783
Penela;5 778
Soure;18 620
Tábua;11 893
Vila Nova de Poiares;7 174
Alvaiázere;7 102
Ansião;12 835
Batalha;15 812
Castanheira de Pêra;2 983
Figueiró dos Vinhos;5 986
Leiria;126 163
Marinha Grande;38 705
Pedrógão Grande;3 724
Pombal;54 413
Porto de Mós;24 082
Aguiar da Beira;5 266
Carregal do Sal;9 684
Castro Daire;14 883
Mangualde;19 559
Nelas;13 734
Oliveira de Frades;10 180
Penalva do Castelo;7 737
Santa Comba Dão;11 242
São Pedro do Sul;16 429
Sátão;12 204
Tondela;28 328
Vila Nova de Paiva;5 043
Viseu;98 601
Vouzela;10 282
Castelo Branco;54 707
Idanha-a-Nova;9 224
Oleiros;5 494
Penamacor;5 384
Proença-a-Nova;8 053
